"TrajectID";"Variabele";"TimeIntegrationSchemeID"
"24-3";"HBN";3
"24-3";"Gras";3
"24-3";"KwHoogte";3
"24-3";"KwSluiten";3
"24-3";"KwPuntconstructies";3
"25-1";"Toetspeil";1
"25-1";"Q";1
"25-1";"Hs";1
"25-1";"Tp";1
"25-1";"Tm-1,0";1
"25-1";"HBN";1
"25-1";"Gras";1
"25-1";"KwHoogte";1
"25-1";"KwSluiten";1
"25-1";"KwPuntconstructies";1
"25-2";"Toetspeil";3
"25-2";"Q";3
"25-2";"Hs";3
"25-2";"Tp";3
"25-2";"Tm-1,0";3
"25-2";"HBN";3
"25-2";"Gras";3
"25-2";"KwHoogte";3
"25-2";"KwSluiten";3
"25-2";"KwPuntconstructies";3
"25-3";"Toetspeil";1
"25-3";"Q";1
"25-3";"Hs";1
"25-3";"Tp";1
"25-3";"Tm-1,0";1
"25-3";"HBN";1
"25-3";"Gras";1
"25-3";"KwHoogte";1
"25-3";"KwSluiten";1
"25-3";"KwPuntconstructies";1
"25-4";"Toetspeil";1
"25-4";"Q";1
"25-4";"Hs";1
"25-4";"Tp";1
"25-4";"Tm-1,0";1
"25-4";"HBN";1
"25-4";"Gras";1
"25-4";"KwHoogte";1
"25-4";"KwSluiten";1
"25-4";"KwPuntconstructies";1
"26-1";"Toetspeil";1
"26-1";"Q";1
"26-1";"Hs";1
"26-1";"Tp";1
"26-1";"Tm-1,0";1
"26-1";"HBN";1
"26-1";"Gras";1
"26-1";"KwHoogte";1
"26-1";"KwSluiten";1
"26-1";"KwPuntconstructies";1
"26-2";"Toetspeil";1
"26-2";"Q";1
"26-2";"Hs";1
"26-2";"Tp";1
"26-2";"Tm-1,0";1
"26-2";"HBN";1
"26-2";"Gras";1
"26-2";"KwHoogte";1
"26-2";"KwSluiten";1
"26-2";"KwPuntconstructies";1
"26-3";"Toetspeil";1
"26-3";"Q";1
"26-3";"Hs";1
"26-3";"Tp";1
"26-3";"Tm-1,0";1
"26-3";"HBN";1
"26-3";"Gras";1
"26-3";"KwHoogte";1
"26-3";"KwSluiten";1
"26-3";"KwPuntconstructies";1
"26-4";"Toetspeil";1
"26-4";"Q";1
"26-4";"Hs";1
"26-4";"Tp";1
"26-4";"Tm-1,0";1
"26-4";"HBN";1
"26-4";"Gras";1
"26-4";"KwHoogte";1
"26-4";"KwSluiten";1
"26-4";"KwPuntconstructies";1
"27-1";"Toetspeil";1
"27-1";"Q";1
"27-1";"Hs";1
"27-1";"Tp";1
"27-1";"Tm-1,0";1
"27-1";"HBN";1
"27-1";"Gras";1
"27-1";"KwHoogte";1
"27-1";"KwSluiten";1
"27-1";"KwPuntconstructies";1
"27-2";"Toetspeil";1
"27-2";"Q";1
"27-2";"Hs";1
"27-2";"Tp";1
"27-2";"Tm-1,0";1
"27-2";"HBN";1
"27-2";"Gras";1
"27-2";"KwHoogte";1
"27-2";"KwSluiten";1
"27-2";"KwPuntconstructies";1
"27-3";"Toetspeil";1
"27-3";"Q";1
"27-3";"Hs";1
"27-3";"Tp";1
"27-3";"Tm-1,0";1
"27-3";"HBN";1
"27-3";"Gras";1
"27-3";"KwHoogte";1
"27-3";"KwSluiten";1
"27-3";"KwPuntconstructies";1
"27-4";"Toetspeil";1
"27-4";"Q";1
"27-4";"Hs";1
"27-4";"Tp";1
"27-4";"Tm-1,0";1
"27-4";"HBN";1
"27-4";"Gras";1
"27-4";"KwHoogte";1
"27-4";"KwSluiten";1
"27-4";"KwPuntconstructies";1
"28-1";"Toetspeil";1
"28-1";"Q";1
"28-1";"Hs";1
"28-1";"Tp";1
"28-1";"Tm-1,0";1
"28-1";"HBN";1
"28-1";"Gras";1
"28-1";"KwHoogte";1
"28-1";"KwSluiten";1
"28-1";"KwPuntconstructies";1
"29-1";"Toetspeil";1
"29-1";"Q";1
"29-1";"Hs";1
"29-1";"Tp";1
"29-1";"Tm-1,0";1
"29-1";"HBN";1
"29-1";"Gras";1
"29-1";"KwHoogte";1
"29-1";"KwSluiten";1
"29-1";"KwPuntconstructies";1
"29-2";"Toetspeil";1
"29-2";"Q";1
"29-2";"Hs";1
"29-2";"Tp";1
