"TrajectID";"Variabele";"Min";"Max"
"86-1";"HBN";37.90;39.90
"87-1";"Toetspeil";37.43;39.88
"87-1";"Hs";-0.22;1.78
"87-1";"HBN";37.90;39.90
"88-1";"Toetspeil";37.43;39.88
"88-1";"Hs";-0.22;1.78
"88-1";"HBN";37.90;39.90
"89-1";"Toetspeil";37.43;39.88
"89-1";"Hs";-0.22;1.78
"89-1";"HBN";37.90;39.90
"90-1a";"Toetspeil";48.00;50.56
"90-1a";"Hs";-0.25;1.75
"90-1a";"HBN";48.88;50.88
"90-1b";"Toetspeil";48.00;50.56
"90-1b";"Hs";-0.25;1.75
"90-1b";"HBN";48.88;50.88
"90-1c";"Toetspeil";48.00;50.56
"90-1c";"Hs";-0.25;1.75
"90-1c";"HBN";48.88;50.88
"91-1";"Toetspeil";37.43;39.88
"91-1";"Hs";-0.22;1.78
"91-1";"HBN";37.90;39.90
"92-1";"Toetspeil";37.43;39.88
"92-1";"Hs";-0.22;1.78
"92-1";"HBN";37.90;39.90
"93-1a";"Toetspeil";48.00;50.56
"93-1a";"Hs";-0.25;1.75
"93-1a";"HBN";48.88;50.88
"93-1b";"Toetspeil";37.43;39.88
"93-1b";"Hs";-0.22;1.78
"93-1b";"HBN";37.90;39.90
"94-1";"Toetspeil";48.00;50.56
"94-1";"Hs";-0.25;1.75
"94-1";"HBN";48.88;50.88
"95-1";"Toetspeil";48.00;50.56
"95-1";"Hs";-0.25;1.75
"95-1";"HBN";48.88;50.88
"201";"Toetspeil";3.98;5.98
"201";"Hs";2.64;4.64
"201";"HBN";9.72;16.22
"204a";"Toetspeil";0.74;2.74
"204a";"Hs";1.06;3.06
"204a";"HBN";3.22;6.66
"204b";"Toetspeil";0.73;2.73
"204b";"Hs";1.50;3.50
"204b";"HBN";6.69;11.73
"206";"Toetspeil";4.61;6.61
"206";"Hs";0.00;2.00
"206";"HBN";5.34;7.34
"208";"Toetspeil";2.66;4.66
"208";"Hs";0.19;2.19
"208";"HBN";4.16;6.16
"209";"Toetspeil";2.66;4.66
"209";"Hs";0.19;2.19
"209";"HBN";4.16;6.16
"210";"Toetspeil";2.59;4.59
"210";"Hs";-0.20;1.80
"210";"HBN";3.14;5.14
"211";"Toetspeil";2.51;4.51
"211";"Hs";0.88;2.88
"211";"HBN";4.84;7.55
"212";"Toetspeil";2.60;4.60
"212";"Hs";0.04;2.04
"212";"HBN";2.70;4.70
"213";"Toetspeil";4.88;6.88
"213";"Hs";-0.07;1.93
"213";"HBN";5.22;7.22
"215";"Toetspeil";2.01;4.01
"215";"Hs";-0.01;1.99
"215";"HBN";3.43;5.43
"222";"Toetspeil";5.29;7.60
"222";"Hs";1.47;3.47
"222";"HBN";7.95;12.57
"223";"Toetspeil";5.29;7.60
"223";"Hs";1.47;3.47
"223";"HBN";7.95;12.57
"224";"Toetspeil";7.05;9.17
"224";"Hs";0.06;2.06
"224";"HBN";7.78;9.82
"225";"Toetspeil";1.54;3.54
"225";"Hs";0.17;2.17
"225";"HBN";2.44;4.44
"226";"Toetspeil";1.73;3.73
"226";"Hs";-0.01;1.99
"226";"HBN";2.40;4.85
